"Bore ID","Depth From (m)","Depth To (m)","Top Elevation (m AHD)","Bottom Elevation (m AHD)","Major Lithology","Minor Lithology","Description","Source"
"GW403746.3.3",178.0,179.0,-72.74,-73.74,"SAND","NA","Grey/brown fine to medium sand with mica.","NSW Office of Water"
"GW403746.3.3",180.0,181.0,-74.74,-75.74,"SAND","NA","Grey fine to medium sand with mica.","NSW Office of Water"
"GW403746.3.3",182.0,183.0,-76.74,-77.74,"SAND","NA","Grey fine to medium sand with mica.","NSW Office of Water"
"GW403746.3.3",184.0,185.0,-78.74,-79.74,"SAND","NA","Grey fine to medium sand with mica.","NSW Office of Water"
"GW403746.3.3",186.0,187.0,-80.74,-81.74,"SAND","NA","Grey fine to medium sand with mica.","NSW Office of Water"
"GW403746.3.3",189.0,190.0,-83.74,-84.74,"SAND","NA","Coarse sand with dark grey clay and lignite.","NSW Office of Water"
"GW403746.3.3",211.0,212.0,-105.74,-106.74,"SAND","NA","Fine to coarse sand with gravel and dark grey clay.","NSW Office of Water"
"GW403746.3.3",220.0,221.0,-114.74,-115.74,"SAND","NA","Fine to coarse sand with gravel and dark grey/brown lignite rich clay.","NSW Office of Water"
"GW403746.3.3",222.0,223.0,-116.74,-117.74,"CLAY","NA","Dark grey/brown lignite rich clay with coarse sand and gravel.","NSW Office of Water"
"GW403746.3.3",232.0,233.0,-126.74,-127.74,"SAND","NA","Fine to coarse sand with gravel.","NSW Office of Water"
"GW403746.3.3",37.0,38.0,68.26,67.26,"SDCY","NA","Brown, some grey and rusty brown slightly sandy clay.","NSW Office of Water"
"GW403746.3.3",41.0,42.0,64.26,63.26,"SDCY","NA","Brown, some grey and rusty brown slightly sandy clay.","NSW Office of Water"
"GW403746.3.3",43.0,44.0,62.26,61.26,"SDCY","NA","Brown, some grey and rusty brown slightly sandy clay.","NSW Office of Water"
"GW403746.3.3",47.0,48.0,58.26,57.26,"SLCY","NA","Light brown and grey silty clay.","NSW Office of Water"
"GW403746.3.3",52.0,53.0,53.26,52.26,"SDCY","NA","Brown and red brown slightly sandy clay.","NSW Office of Water"
"GW403746.3.3",54.0,55.0,51.26,50.26,"CLAY","NA","Brown and some red brown clay with sand and gravel.","NSW Office of Water"
"GW403746.3.3",58.0,59.0,47.26,46.26,"SAND","NA","Brown fine to medium sand.","NSW Office of Water"
"GW403746.3.3",81.0,82.0,24.26,23.26,"CLAY","NA","Grey clay with sand and gravel.","NSW Office of Water"
"GW403746.3.3",82.0,83.0,23.26,22.26,"SAND","NA","Grey and brown medium to coarse sand.","NSW Office of Water"
"GW403746.3.3",86.0,87.0,19.26,18.26,"SAND","NA","Grey fine to medium sand with mica.","NSW Office of Water"
"GW403746.3.3",88.0,89.0,17.26,16.26,"SAND","NA","Grey fine sand, some coarse sand and clay.","NSW Office of Water"
"GW403746.3.3",91.0,92.0,14.26,13.26,"SAND","NA","Grey coarse sand and gravel with some clay.","NSW Office of Water"
"GW403746.3.3",94.0,95.0,11.26,10.26,"CLAY","NA","Grey to pale brown clay with some gravel.","NSW Office of Water"
"GW403746.3.3",107.0,108.0,-1.74,-2.74,"SAND","NA","Grey fine to medium sand with mica.","NSW Office of Water"
"GW403746.3.3",116.0,117.0,-10.74,-11.74,"SAND","NA","Grey fine to medium sand with mica.","NSW Office of Water"
"GW403746.3.3",117.0,118.0,-11.74,-12.74,"SAND","NA","Grey fine to medium sand with mica (bottom of calivil formation).","NSW Office of Water"
"GW403746.3.3",120.0,121.0,-14.74,-15.74,"CLAY","NA","Pale yellow clay with some sand and gravel.","NSW Office of Water"
"GW403746.3.3",129.0,130.0,-23.74,-24.74,"LGNT","NA","Lignite with some sand and gravel with clay.","NSW Office of Water"
"GW403746.3.3",148.0,149.0,-42.74,-43.74,"SAND","NA","Grey coarse sand with some lignite.","NSW Office of Water"
"GW403746.3.3",151.0,152.0,-45.74,-46.74,"LGNT","NA","Dark brown/black lignite with some coarse sand.","NSW Office of Water"
"GW403746.3.3",152.0,153.0,-46.74,-47.74,"LGNT","NA","Dark brown/black lignite with some coarse sand.","NSW Office of Water"
"GW403746.3.3",164.0,165.0,-58.74,-59.74,"SAND","NA","Grey fine sand.","NSW Office of Water"
"GW403746.3.3",166.0,167.0,-60.74,-61.74,"CLAY","NA","Dark grey/black clay with lignite and some coarse sand.","NSW Office of Water"
"GW403746.3.3",181.0,182.0,-75.74,-76.74,"SAND","NA","Grey fine to medium sand with mica.","NSW Office of Water"
"GW403746.3.3",196.0,197.0,-90.74,-91.74,"SAND","NA","Fine to medium sand with dark grey clay and lignite.","NSW Office of Water"
"GW403746.3.3",199.0,200.0,-93.74,-94.74,"SAND","NA","Fine to medium sand with dark grey clay and lignite.","NSW Office of Water"
"GW403746.3.3",204.0,205.0,-98.74,-99.74,"CLAY","NA","Dark grey to brown/black lignite rich clay.","NSW Office of Water"
"GW403746.3.3",206.0,207.0,-100.74,-101.74,"SAND","NA","Grey fine to coarse sand and some gravel.","NSW Office of Water"
"GW403746.3.3",216.0,217.0,-110.74,-111.74,"CLAY","NA","Dark grey lignite rich clay with some sand and gravel.","NSW Office of Water"
"GW403746.3.3",218.0,219.0,-112.74,-113.74,"SAND","NA","Fine to medium sand with dark grey lignite rich clay.","NSW Office of Water"
"GW403746.3.3",221.0,222.0,-115.74,-116.74,"CLAY","NA","Dark grey/brown lignite rich clay with coarse sand and gravel.","NSW Office of Water"
"GW403746.3.3",225.0,226.0,-119.74,-120.74,"SAND","NA","Fine to coarse sand with gravel.","NSW Office of Water"
"GW403746.3.3",229.0,230.0,-123.74,-124.74,"SAND","NA","Fine to coarse sand with gravel.","NSW Office of Water"
"GW403746.3.3",146.0,147.0,-40.74,-41.74,"SAND","NA","Grey coarse sand with some lignite.","NSW Office of Water"
"GW403746.3.3",227.0,228.0,-121.74,-122.74,"SAND","NA","Fine to coarse sand with gravel.","NSW Office of Water"
"GW403746.3.3",230.0,231.0,-124.74,-125.74,"SAND","NA","Fine to coarse sand with gravel.","NSW Office of Water"
"GW403746.3.3",231.0,232.0,-125.74,-126.74,"SAND","NA","Fine to coarse sand with gravel.","NSW Office of Water"
"GW403746.3.3",39.0,40.0,66.26,65.26,"SDCY","NA","Brown, some grey and rusty brown slightly sandy clay.","NSW Office of Water"
"GW403746.3.3",114.0,115.0,-8.74,-9.74,"SAND","NA","Grey fine to medium sand with mica.","NSW Office of Water"
"GW403746.3.3",160.0,161.0,-54.74,-55.74,"SAND","NA","Medium to coarse sand with dark grey clay and lignite.","NSW Office of Water"
"GW403746.3.3",168.0,169.0,-62.74,-63.74,"CLAY","NA","Dark grey/black clay with lignite and some coarse sand.","NSW Office of Water"
"GW403746.3.3",185.0,186.0,-79.74,-80.74,"SAND","NA","Grey fine to medium sand with mica.","NSW Office of Water"
"GW403746.3.3",191.0,192.0,-85.74,-86.74,"SAND","NA","Coarse sand with dark grey clay and lignite.","NSW Office of Water"
"GW403746.3.3",192.0,193.0,-86.74,-87.74,"SAND","NA","Coarse sand with dark grey clay and lignite.","NSW Office of Water"
"GW403746.3.3",197.0,198.0,-91.74,-92.74,"SAND","NA","Fine to medium sand with dark grey clay and lignite.","NSW Office of Water"
