"Bore ID","Depth From (m)","Depth To (m)","Top Elevation (m AHD)","Bottom Elevation (m AHD)","Major Lithology","Minor Lithology","Description","Source"
"GW403746.3.3",177.0,178.0,-71.74,-72.74,"SAND","NA","Grey/brown fine to medium sand with mica.","NSW Office of Water"
"GW403746.3.3",187.0,188.0,-81.74,-82.74,"SAND","NA","Grey fine to medium sand with mica.","NSW Office of Water"
"GW403746.3.3",195.0,196.0,-89.74,-90.74,"CLAY","NA","Dark grey clay with lignite and coarse sand.","NSW Office of Water"
"GW403746.3.3",202.0,203.0,-96.74,-97.74,"CLAY","NA","Dark grey to brown/black lignite rich clay.","NSW Office of Water"
"GW403746.3.3",205.0,206.0,-99.74,-100.74,"CLAY","NA","Dark grey to brown/black lignite rich clay with some gravel.","NSW Office of Water"
"GW403746.3.3",79.0,80.0,26.26,25.26,"SAND","NA","Grey brown medium to coarse sand.","NSW Office of Water"
"GW403746.3.3",99.0,100.0,6.26,5.26,"SAND","NA","Grey fine sand with mica.","NSW Office of Water"
"GW403746.3.3",115.0,116.0,-9.74,-10.74,"SAND","NA","Grey fine to medium sand with mica.","NSW Office of Water"
"GW403746.3.3",122.0,123.0,-16.74,-17.74,"CLAY","NA","Pale yellow clay with some sand and gravel.","NSW Office of Water"
"GW403746.3.3",127.0,128.0,-21.74,-22.74,"SAND","NA","Grey fine to medium sand.","NSW Office of Water"
"GW403746.3.3",128.0,129.0,-22.74,-23.74,"SAND","NA","Grey fine to medium sand.","NSW Office of Water"
"GW403746.3.3",144.0,145.0,-38.74,-39.74,"SAND","NA","Grey coarse sand with some lignite.","NSW Office of Water"
"GW403746.3.3",149.0,150.0,-43.74,-44.74,"SAND","NA","Grey coarse sand with lignite.","NSW Office of Water"
"GW403746.3.3",156.0,157.0,-50.74,-51.74,"CLAY","NA","Dark grey clay with lignite.","NSW Office of Water"
"GW403746.3.3",157.0,158.0,-51.74,-52.74,"CLAY","NA","Dark grey clay with lignite and some coarse sand.","NSW Office of Water"
"GW403746.3.3",159.0,160.0,-53.74,-54.74,"CLAY","NA","Dark grey clay with lignite and some coarse sand.","NSW Office of Water"
"GW403746.3.3",132.0,134.0,-26.74,-28.74,"CLAY","NA","Clay, grey","UNK"
"GW403746.3.3",142.0,143.0,-36.74,-37.74,"CLAY","NA","Grey clay with lignite.","NSW Office of Water"
"GW403746.3.3",20.0,27.0,85.26,78.26,"GRVL","NA","Gravel, small","UNK"
"GW403746.3.3",3.0,6.0,102.26,99.26,"CLAY","NA","Clay, dark brown","UNK"
"GW403746.3.3",79.0,83.0,26.26,22.26,"SAND","NA","Sand, brown","UNK"
"GW403746.3.3",83.0,94.0,22.26,11.26,"SAND","NA","Sand, white coarse","UNK"
"GW403746.3.3",94.0,95.0,11.26,10.26,"CLAY","NA","Clay","UNK"
"GW403746.3.3",125.0,126.0,-19.74,-20.74,"SAND","NA","Sand","UNK"
"GW403746.3.3",175.0,189.0,-69.74,-83.74,"SAND","NA","Sand, medium, 5% clay","UNK"
"GW403746.3.3",225.0,234.0,-119.74,-128.74,"SAND","NA","Sand, fine/coarse, 5% clay","UNK"
"GW403746.3.3",200.0,206.0,-94.74,-100.74,"CLAY","NA","Clay","UNK"
"GW403746.3.3",206.0,225.0,-100.74,-119.74,"SAND","NA","Sand, coarse, clay","UNK"
"GW403746.3.3",0.0,3.0,105.26,102.26,"TPSL","NA","Topsoil","UNK"
"GW403746.3.3",6.0,9.0,99.26,96.26,"CLAY","NA","Clay, light grey","UNK"
"GW403746.3.3",73.0,77.0,32.26,28.26,"SAND","NA","Sand","UNK"
"GW403746.3.3",95.0,119.0,10.26,-13.74,"SAND","NA","Sand","UNK"
"GW403746.3.3",119.0,120.0,-13.74,-14.74,"CLAY","NA","Clay, grey","UNK"
"GW403746.3.3",120.0,125.0,-14.74,-19.74,"CLAY","NA","Clay, brown","UNK"
"GW403746.3.3",138.0,142.0,-32.74,-36.74,"CLAY","NA","Clay, grey","UNK"
"GW403746.3.3",142.0,149.0,-36.74,-43.74,"SAND","NA","Sand, coarse","UNK"
"GW403746.3.3",31.0,35.0,74.26,70.26,"SAND","NA","Sand","UNK"
"GW403746.3.3",16.0,20.0,89.26,85.26,"CLAY","NA","Clay, brown","UNK"
"GW403746.3.3",126.0,127.0,-20.74,-21.74,"CLAY","NA","Clay","UNK"
"GW403746.3.3",127.0,129.0,-21.74,-23.74,"SAND","NA","Sand","UNK"
"GW403746.3.3",56.0,63.0,49.26,42.26,"SAND","NA","Sand","UNK"
"GW403746.3.3",63.0,73.0,42.26,32.26,"CLAY","NA","Clay","UNK"
"GW403746.3.3",77.0,79.0,28.26,26.26,"CLAY","NA","Clay","UNK"
"GW403746.3.3",134.0,138.0,-28.74,-32.74,"SAND","NA","Sand, fine","UNK"
"GW403746.3.3",149.0,175.0,-43.74,-69.74,"CLAY","NA","Clay","UNK"
"GW403746.3.3",189.0,200.0,-83.74,-94.74,"SAND","NA","Sand, coarse, 5% clay","UNK"
"GW403746.3.3",27.0,31.0,78.26,74.26,"CLAY","NA","Clay, light brown","UNK"
"GW403746.3.3",9.0,16.0,96.26,89.26,"GRVL","NA","Gravel, small","UNK"
"GW403746.3.3",35.0,56.0,70.26,49.26,"CLAY","NA","Clay, light brown","UNK"
"GW403746.3.3",129.0,132.0,-23.74,-26.74,"LGNT","NA","Lignite","UNK"
