"Bore ID","Date","Variable","Result (m)","Quality Code","Agency"
"GW403746.3.3",2007-06-07 00:00:00.0,"DTW",30.66,"quality-A","WaterNSW"
"GW403746.3.3",2007-06-07 00:00:00.0,"RSWL (mAHD)",74.60,"quality-A","WaterNSW"
"GW403746.3.3",2007-06-07 00:00:00.0,"SWL",31.66,"quality-A","WaterNSW"
"GW403746.3.3",2007-07-05 00:00:00.0,"DTW",30.06,"quality-A","WaterNSW"
"GW403746.3.3",2007-07-05 00:00:00.0,"RSWL (mAHD)",75.20,"quality-A","WaterNSW"
"GW403746.3.3",2007-07-05 00:00:00.0,"SWL",31.06,"quality-A","WaterNSW"
"GW403746.3.3",2007-08-09 00:00:00.0,"DTW",29.40,"quality-A","WaterNSW"
"GW403746.3.3",2007-08-09 00:00:00.0,"RSWL (mAHD)",75.86,"quality-A","WaterNSW"
"GW403746.3.3",2007-08-09 00:00:00.0,"SWL",30.40,"quality-A","WaterNSW"
"GW403746.3.3",2007-09-12 00:00:00.0,"DTW",29.15,"quality-A","WaterNSW"
"GW403746.3.3",2007-09-12 00:00:00.0,"RSWL (mAHD)",76.11,"quality-A","WaterNSW"
"GW403746.3.3",2007-09-12 00:00:00.0,"SWL",30.15,"quality-A","WaterNSW"
"GW403746.3.3",2007-10-10 00:00:00.0,"DTW",29.67,"quality-A","WaterNSW"
"GW403746.3.3",2007-10-10 00:00:00.0,"RSWL (mAHD)",75.59,"quality-A","WaterNSW"
"GW403746.3.3",2007-10-10 00:00:00.0,"SWL",30.67,"quality-A","WaterNSW"
"GW403746.3.3",2007-11-15 00:00:00.0,"DTW",30.05,"quality-A","WaterNSW"
"GW403746.3.3",2007-11-15 00:00:00.0,"RSWL (mAHD)",75.21,"quality-A","WaterNSW"
"GW403746.3.3",2007-11-15 00:00:00.0,"SWL",31.05,"quality-A","WaterNSW"
"GW403746.3.3",2007-12-12 00:00:00.0,"DTW",30.08,"quality-A","WaterNSW"
"GW403746.3.3",2007-12-12 00:00:00.0,"RSWL (mAHD)",75.18,"quality-A","WaterNSW"
"GW403746.3.3",2007-12-12 00:00:00.0,"SWL",31.08,"quality-A","WaterNSW"
"GW403746.3.3",2008-01-31 00:00:00.0,"DTW",29.87,"quality-A","WaterNSW"
"GW403746.3.3",2008-01-31 00:00:00.0,"RSWL (mAHD)",75.39,"quality-A","WaterNSW"
"GW403746.3.3",2008-01-31 00:00:00.0,"SWL",30.87,"quality-A","WaterNSW"
"GW403746.3.3",2008-02-18 00:00:00.0,"DTW",29.97,"quality-A","WaterNSW"
"GW403746.3.3",2008-02-18 00:00:00.0,"RSWL (mAHD)",75.29,"quality-A","WaterNSW"
"GW403746.3.3",2008-02-18 00:00:00.0,"SWL",30.97,"quality-A","WaterNSW"
"GW403746.3.3",2008-03-11 00:00:00.0,"DTW",30.10,"quality-A","WaterNSW"
"GW403746.3.3",2008-03-11 00:00:00.0,"RSWL (mAHD)",75.16,"quality-A","WaterNSW"
"GW403746.3.3",2008-03-11 00:00:00.0,"SWL",31.10,"quality-A","WaterNSW"
"GW403746.3.3",2008-04-02 00:00:00.0,"DTW",30.05,"quality-A","WaterNSW"
"GW403746.3.3",2008-04-02 00:00:00.0,"RSWL (mAHD)",75.21,"quality-A","WaterNSW"
"GW403746.3.3",2008-04-02 00:00:00.0,"SWL",31.05,"quality-A","WaterNSW"
"GW403746.3.3",2008-05-14 00:00:00.0,"DTW",30.05,"quality-A","WaterNSW"
"GW403746.3.3",2008-05-14 00:00:00.0,"RSWL (mAHD)",75.21,"quality-A","WaterNSW"
"GW403746.3.3",2008-05-14 00:00:00.0,"SWL",31.05,"quality-A","WaterNSW"
"GW403746.3.3",2008-06-12 00:00:00.0,"DTW",29.50,"quality-A","WaterNSW"
"GW403746.3.3",2008-06-12 00:00:00.0,"RSWL (mAHD)",75.76,"quality-A","WaterNSW"
"GW403746.3.3",2008-06-12 00:00:00.0,"SWL",30.50,"quality-A","WaterNSW"
"GW403746.3.3",2008-07-30 00:00:00.0,"DTW",28.83,"quality-A","WaterNSW"
"GW403746.3.3",2008-07-30 00:00:00.0,"RSWL (mAHD)",76.43,"quality-A","WaterNSW"
"GW403746.3.3",2008-07-30 00:00:00.0,"SWL",29.83,"quality-A","WaterNSW"
"GW403746.3.3",2008-08-20 00:00:00.0,"DTW",28.62,"quality-A","WaterNSW"
"GW403746.3.3",2008-08-20 00:00:00.0,"RSWL (mAHD)",76.64,"quality-A","WaterNSW"
"GW403746.3.3",2008-08-20 00:00:00.0,"SWL",29.62,"quality-A","WaterNSW"
"GW403746.3.3",2008-09-17 00:00:00.0,"DTW",28.56,"quality-A","WaterNSW"
"GW403746.3.3",2008-09-17 00:00:00.0,"RSWL (mAHD)",76.70,"quality-A","WaterNSW"
"GW403746.3.3",2008-09-17 00:00:00.0,"SWL",29.56,"quality-A","WaterNSW"
"GW403746.3.3",2008-10-15 00:00:00.0,"DTW",28.60,"quality-A","WaterNSW"
"GW403746.3.3",2008-10-15 00:00:00.0,"RSWL (mAHD)",76.66,"quality-A","WaterNSW"
"GW403746.3.3",2008-10-15 00:00:00.0,"SWL",29.60,"quality-A","WaterNSW"
"GW403746.3.3",2008-11-12 00:00:00.0,"DTW",28.72,"quality-A","WaterNSW"
"GW403746.3.3",2008-11-12 00:00:00.0,"RSWL (mAHD)",76.54,"quality-A","WaterNSW"
"GW403746.3.3",2008-11-12 00:00:00.0,"SWL",29.72,"quality-A","WaterNSW"
"GW403746.3.3",2008-12-09 00:00:00.0,"DTW",28.80,"quality-A","WaterNSW"
"GW403746.3.3",2008-12-09 00:00:00.0,"RSWL (mAHD)",76.46,"quality-A","WaterNSW"
"GW403746.3.3",2008-12-09 00:00:00.0,"SWL",29.80,"quality-A","WaterNSW"
"GW403746.3.3",2009-02-03 00:00:00.0,"DTW",28.92,"quality-A","WaterNSW"
"GW403746.3.3",2009-02-03 00:00:00.0,"RSWL (mAHD)",76.34,"quality-A","WaterNSW"
"GW403746.3.3",2009-02-03 00:00:00.0,"SWL",29.92,"quality-A","WaterNSW"
"GW403746.3.3",2009-03-10 00:00:00.0,"DTW",29.30,"quality-A","WaterNSW"
"GW403746.3.3",2009-03-10 00:00:00.0,"RSWL (mAHD)",75.96,"quality-A","WaterNSW"
"GW403746.3.3",2009-03-10 00:00:00.0,"SWL",30.30,"quality-A","WaterNSW"
"GW403746.3.3",2009-03-27 00:00:00.0,"DTW",29.55,"quality-B","WaterNSW"
"GW403746.3.3",2009-03-27 00:00:00.0,"RSWL (mAHD)",75.71,"quality-B","WaterNSW"
"GW403746.3.3",2009-03-27 00:00:00.0,"SWL",30.55,"quality-B","WaterNSW"
"GW403746.3.3",2009-03-28 00:00:00.0,"DTW",29.56,"quality-B","WaterNSW"
"GW403746.3.3",2009-03-28 00:00:00.0,"RSWL (mAHD)",75.70,"quality-B","WaterNSW"
"GW403746.3.3",2009-03-28 00:00:00.0,"SWL",30.56,"quality-B","WaterNSW"
"GW403746.3.3",2009-03-29 00:00:00.0,"DTW",29.57,"quality-B","WaterNSW"
"GW403746.3.3",2009-03-29 00:00:00.0,"RSWL (mAHD)",75.69,"quality-B","WaterNSW"
"GW403746.3.3",2009-03-29 00:00:00.0,"SWL",30.57,"quality-B","WaterNSW"
"GW403746.3.3",2009-03-30 00:00:00.0,"DTW",29.58,"quality-B","WaterNSW"
"GW403746.3.3",2009-03-30 00:00:00.0,"RSWL (mAHD)",75.68,"quality-B","WaterNSW"
"GW403746.3.3",2009-03-30 00:00:00.0,"SWL",30.58,"quality-B","WaterNSW"
"GW403746.3.3",2009-03-31 00:00:00.0,"DTW",29.59,"quality-B","WaterNSW"
"GW403746.3.3",2009-03-31 00:00:00.0,"RSWL (mAHD)",75.67,"quality-B","WaterNSW"
"GW403746.3.3",2009-03-31 00:00:00.0,"SWL",30.59,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-01 00:00:00.0,"DTW",29.60,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-01 00:00:00.0,"RSWL (mAHD)",75.66,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-01 00:00:00.0,"SWL",30.60,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-02 00:00:00.0,"DTW",29.60,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-02 00:00:00.0,"RSWL (mAHD)",75.66,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-02 00:00:00.0,"SWL",30.60,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-03 00:00:00.0,"DTW",29.61,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-03 00:00:00.0,"RSWL (mAHD)",75.65,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-03 00:00:00.0,"SWL",30.61,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-04 00:00:00.0,"DTW",29.64,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-04 00:00:00.0,"RSWL (mAHD)",75.62,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-04 00:00:00.0,"SWL",30.64,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-05 00:00:00.0,"DTW",29.66,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-05 00:00:00.0,"RSWL (mAHD)",75.60,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-05 00:00:00.0,"SWL",30.66,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-06 00:00:00.0,"DTW",29.68,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-06 00:00:00.0,"RSWL (mAHD)",75.58,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-06 00:00:00.0,"SWL",30.68,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-07 00:00:00.0,"DTW",29.69,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-07 00:00:00.0,"RSWL (mAHD)",75.57,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-07 00:00:00.0,"SWL",30.69,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-08 00:00:00.0,"DTW",29.69,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-08 00:00:00.0,"RSWL (mAHD)",75.57,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-08 00:00:00.0,"SWL",30.69,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-09 00:00:00.0,"DTW",29.68,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-09 00:00:00.0,"RSWL (mAHD)",75.58,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-09 00:00:00.0,"SWL",30.68,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-10 00:00:00.0,"DTW",29.69,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-10 00:00:00.0,"RSWL (mAHD)",75.57,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-10 00:00:00.0,"SWL",30.69,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-11 00:00:00.0,"DTW",29.71,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-11 00:00:00.0,"RSWL (mAHD)",75.55,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-11 00:00:00.0,"SWL",30.71,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-12 00:00:00.0,"DTW",29.71,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-12 00:00:00.0,"RSWL (mAHD)",75.55,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-12 00:00:00.0,"SWL",30.71,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-13 00:00:00.0,"DTW",29.72,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-13 00:00:00.0,"RSWL (mAHD)",75.54,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-13 00:00:00.0,"SWL",30.72,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-14 00:00:00.0,"DTW",29.71,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-14 00:00:00.0,"RSWL (mAHD)",75.55,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-14 00:00:00.0,"SWL",30.71,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-15 00:00:00.0,"DTW",29.72,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-15 00:00:00.0,"RSWL (mAHD)",75.54,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-15 00:00:00.0,"SWL",30.72,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-16 00:00:00.0,"DTW",29.68,"quality-A","WaterNSW"
"GW403746.3.3",2009-04-16 00:00:00.0,"RSWL (mAHD)",75.58,"quality-A","WaterNSW"
"GW403746.3.3",2009-04-16 00:00:00.0,"SWL",30.68,"quality-A","WaterNSW"
"GW403746.3.3",2009-04-17 00:00:00.0,"DTW",29.74,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-17 00:00:00.0,"RSWL (mAHD)",75.52,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-17 00:00:00.0,"SWL",30.74,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-18 00:00:00.0,"DTW",29.76,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-18 00:00:00.0,"RSWL (mAHD)",75.50,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-18 00:00:00.0,"SWL",30.76,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-19 00:00:00.0,"DTW",29.75,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-19 00:00:00.0,"RSWL (mAHD)",75.51,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-19 00:00:00.0,"SWL",30.75,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-20 00:00:00.0,"DTW",29.76,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-20 00:00:00.0,"RSWL (mAHD)",75.50,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-20 00:00:00.0,"SWL",30.76,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-21 00:00:00.0,"DTW",29.78,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-21 00:00:00.0,"RSWL (mAHD)",75.48,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-21 00:00:00.0,"SWL",30.78,"quality-B","WaterNSW"
"GW403746.3.3",2009-04-22 00:00:00.0,"DTW",29.78,"quality-B","WaterNSW"
