"Bore ID","Depth From (m)","Depth To (m)","Top Elevation (m AHD)","Bottom Elevation (m AHD)","Major Lithology","Minor Lithology","Description","Source"
"GW075025.1.1",12.0,18.0,-3.477,-9.477,"SAND","NA","Silty sand,fine grained","UNK"
"GW075025.1.1",5.0,7.5,3.523,1.023,"SAND","NA","Sand,fine,white","UNK"
"GW075025.1.1",7.5,8.0,1.023,0.523,"PEAT","NA","Peat,fine,black","UNK"
"GW075025.1.1",24.5,25.5,-15.977,-16.977,"BDRK","NA","Bedrock","UNK"
"GW075025.1.1",18.0,24.5,-9.477,-15.977,"SAND","NA","Sand,med. coarse","UNK"
"GW075025.1.1",0.0,2.0,8.523,6.523,"SAND","NA","Sand,coffee brown","UNK"
"GW075025.1.1",8.0,12.0,0.523,-3.477,"SAND","NA","Peaty sand,dark brown","UNK"
"GW075025.1.1",2.0,5.0,6.523,3.523,"SAND","NA","Sand,med grained,yellow","UNK"
