"Bore ID","Depth From (m)","Depth To (m)","Top Elevation (m AHD)","Bottom Elevation (m AHD)","Constructiontype","Material","Inner Diameter","Outer Diameter","Property","Property Size","Drill Method"
"GW080415.1.1",4.0,5.0,516.498,515.498,"INLT","UNK",,114.0,"UNK",,"UNK"
"GW080415.1.1",0.0,8.5,520.498,511.998,"UNK","UNK",,190.0,"UNK",,"ROT"
