"Bore ID","Date","Variable","Result (m)","Quality Code","Agency"
"GW081101.1.2",2010-04-01 00:00:00.0,"SWL",1.74,"quality-A","WaterNSW"
"GW081101.1.2",2010-04-02 00:00:00.0,"SWL",1.76,"quality-A","WaterNSW"
"GW081101.1.2",2010-04-03 00:00:00.0,"SWL",1.77,"quality-A","WaterNSW"
"GW081101.1.2",2010-04-04 00:00:00.0,"SWL",1.76,"quality-A","WaterNSW"
"GW081101.1.2",2010-04-05 00:00:00.0,"SWL",1.77,"quality-A","WaterNSW"
"GW081101.1.2",2010-04-06 00:00:00.0,"SWL",1.77,"quality-A","WaterNSW"
"GW081101.1.2",2010-04-07 00:00:00.0,"SWL",1.77,"quality-A","WaterNSW"
"GW081101.1.2",2010-04-08 00:00:00.0,"SWL",1.78,"quality-A","WaterNSW"
"GW081101.1.2",2010-04-09 00:00:00.0,"SWL",1.78,"quality-A","WaterNSW"
"GW081101.1.2",2010-04-10 00:00:00.0,"SWL",1.79,"quality-A","WaterNSW"
"GW081101.1.2",2010-04-11 00:00:00.0,"SWL",1.80,"quality-A","WaterNSW"
"GW081101.1.2",2010-04-12 00:00:00.0,"SWL",1.81,"quality-A","WaterNSW"
"GW081101.1.2",2010-04-13 00:00:00.0,"SWL",1.82,"quality-A","WaterNSW"
"GW081101.1.2",2010-04-14 00:00:00.0,"SWL",1.82,"quality-A","WaterNSW"
"GW081101.1.2",2010-04-15 00:00:00.0,"SWL",1.83,"quality-A","WaterNSW"
"GW081101.1.2",2010-04-16 00:00:00.0,"SWL",1.83,"quality-A","WaterNSW"
"GW081101.1.2",2010-04-17 00:00:00.0,"SWL",1.82,"quality-A","WaterNSW"
"GW081101.1.2",2010-04-18 00:00:00.0,"SWL",1.80,"quality-A","WaterNSW"
"GW081101.1.2",2010-04-19 00:00:00.0,"SWL",1.79,"quality-A","WaterNSW"
"GW081101.1.2",2010-04-20 00:00:00.0,"SWL",1.78,"quality-A","WaterNSW"
"GW081101.1.2",2010-04-21 00:00:00.0,"SWL",1.78,"quality-A","WaterNSW"
"GW081101.1.2",2010-04-22 00:00:00.0,"SWL",1.79,"quality-A","WaterNSW"
"GW081101.1.2",2010-04-23 00:00:00.0,"SWL",1.80,"quality-A","WaterNSW"
"GW081101.1.2",2010-04-24 00:00:00.0,"SWL",1.81,"quality-A","WaterNSW"
"GW081101.1.2",2010-04-25 00:00:00.0,"SWL",1.81,"quality-A","WaterNSW"
"GW081101.1.2",2010-04-26 00:00:00.0,"SWL",1.80,"quality-A","WaterNSW"
"GW081101.1.2",2010-04-27 00:00:00.0,"SWL",1.81,"quality-A","WaterNSW"
